member_casual,day_of_week,total_no_of_rides,mean_ride_length,max_ride_length
member,3,69697,11.043430850682332,3339
member,4,63978,11.167104317109015,5387
member,2,61923,12.488380730907764,93793
member,5,61245,11.063548044738472,5773
member,6,55496,12.135072798039623,42956
member,1,35964,15.331804026248346,37555
member,7,30104,15.012456816369987,79217
casual,1,14886,94.687625957275031,143936
casual,7,7480,99.792112299465288,65661
casual,4,5933,74.561436035732385,74703
casual,3,5264,84.207066869301087,69504
casual,6,5167,117.86413779756134,117323
casual,5,4895,125.43493360571968,156450
casual,2,4855,73.508547888774686,39387
